"","Year","County","Per Capita Cost"
"165",2007,"Midland",9190.77
"166",2007,"Milam",11279.55
"167",2007,"Mills",9025.35
"168",2007,"Mitchell",12563.77
"169",2007,"Montague",10810.17
"170",2007,"Montgomery",11431.41
"171",2007,"Moore",10128.91
"172",2007,"Morris",11267.44
"173",2007,"Motley",10318.25
"174",2007,"Nacogdoches",11055.54
"175",2007,"Navarro",11084.82
"176",2007,"Newton",11689.08
"177",2007,"Nolan",10579.63
"178",2007,"Nueces",11227.88
"179",2007,"Ochiltree",9423.99
"180",2007,"Oldham",7477.1
"181",2007,"Orange",11550.79
"182",2007,"Palo Pinto",11226.01
"183",2007,"Panola",11267.04
"184",2007,"Parker",11511.68
"185",2007,"Parmer",10003.26
"186",2007,"Pecos",9999.7
"187",2007,"Polk",9414
"188",2007,"Potter",10242.92
"189",2007,"Presidio",7409.78
"190",2007,"Rains",11096.09
"191",2007,"Randall",9333.9
"192",2007,"Reagan",14574.95
"193",2007,"Real",10025.61
"194",2007,"Red River",10634.53
"195",2007,"Reeves",9615.53
"196",2007,"Refugio",14110.64
"197",2007,"Roberts",8881.53
"198",2007,"Robertson",11417.08
"199",2007,"Rockwall",11147.34
"200",2007,"Runnels",11153.31
"201",2007,"Rusk",11167.92
"202",2007,"Sabine",9818.55
"203",2007,"San Augustine",10722.97
"204",2007,"San Jacinto",12530.47
"205",2007,"San Patricio",11566.95
"206",2007,"San Saba",10693.35
"207",2007,"Schleicher",11391.63
"208",2007,"Scurry",10484.53
"209",2007,"Shackelford",11521
"210",2007,"Shelby",10132.2
"211",2007,"Sherman",10098.3
"212",2007,"Smith",10741.89
"213",2007,"Somervell",10639.24
"214",2007,"Starr",12691.98
"215",2007,"Stephens",11219.8
"216",2007,"Sterling",10130.34
"217",2007,"Stonewall",13374.29
"218",2007,"Sutton",9959.38
"219",2007,"Swisher",11406
"220",2007,"Tarrant",11846.44
"221",2007,"Taylor",11102.55
"222",2007,"Terrell",5704.64
"223",2007,"Terry",11648.85
"224",2007,"Throckmorton",14898.1
"225",2007,"Titus",11016.74
"226",2007,"Tom Green",10170.13
"227",2007,"Travis",10337.58
"228",2007,"Trinity",10766.8
"229",2007,"Tyler",10947.54
"230",2007,"Upshur",10484.65
"231",2007,"Upton",16885.27
"232",2007,"Uvalde",10586.22
"233",2007,"Val Verde",9935.53
"234",2007,"Van Zandt",10657.99
"235",2007,"Victoria",11899.03
"236",2007,"Walker",11851.84
"237",2007,"Waller",11979.5
"238",2007,"Ward",10013.14
"239",2007,"Washington",9916.79
"240",2007,"Webb",11663.49
"241",2007,"Wharton",12773.68
"242",2007,"Wheeler",15088.59
"243",2007,"Wichita",12164.35
"244",2007,"Wilbarger",12715.77
"245",2007,"Willacy",12497.73
"246",2007,"Williamson",10040.91
"247",2007,"Wilson",9420.91
"248",2007,"Winkler",11825.57
"249",2007,"Wise",12538.51
"250",2007,"Wood",9901.54
"251",2007,"Yoakum",11216.32
"252",2007,"Young",12251.46
"253",2007,"Zapata",11891.87
"254",2007,"Zavala",12809.46
"255",2008,"Anderson",8673.25
"256",2008,"Andrews",8427.22
"257",2008,"Angelina",9562.1
"258",2008,"Aransas",8783
"259",2008,"Archer",8401.34
"260",2008,"Armstrong",8396.7
"261",2008,"Atascosa",9684.33
"262",2008,"Austin",7662.26
"263",2008,"Bailey",8124.52
"264",2008,"Bandera",7740.99
"265",2008,"Bastrop",8826.5
"266",2008,"Baylor",8981.16
"267",2008,"Bee",10018.56
"268",2008,"Bell",7301.51
"269",2008,"Bexar",9508.56
"270",2008,"Blanco",7057.05
"271",2008,"Borden",7279.67
"272",2008,"Bosque",7270.82
"273",2008,"Bowie",9087.55
"274",2008,"Brazoria",9916.26
"275",2008,"Brazos",8555.26
"276",2008,"Brewster",6528.87
"277",2008,"Briscoe",7688.73
"278",2008,"Brooks",11581.12
"279",2008,"Brown",8415.9
"280",2008,"Burleson",7779.79
"281",2008,"Burnet",8059.5
"282",2008,"Caldwell",9276.63
"283",2008,"Calhoun",8643.18
"284",2008,"Callahan",7917.43
"285",2008,"Cameron",11856.32
"286",2008,"Camp",9166.97
"287",2008,"Carson",8541.89
"288",2008,"Cass",8928.26
"289",2008,"Castro",10132.37
"290",2008,"Chambers",10668.5
"291",2008,"Cherokee",9629.49
"292",2008,"Childress",7613.15
"293",2008,"Clay",9039.17
"294",2008,"Cochran",10485.37
"295",2008,"Coke",7879.21
"296",2008,"Coleman",7746.94
"297",2008,"Collin",9609.2
"298",2008,"Collingsworth",10787.13
"299",2008,"Colorado",9811.36
"300",2008,"Comal",8214.56
"301",2008,"Comanche",7845.75
"302",2008,"Concho",8972.83
"303",2008,"Cooke",9657.9
"304",2008,"Coryell",6936.88
"305",2008,"Cottle",8032.45
"306",2008,"Crane",9922.23
"307",2008,"Crockett",7856.75
"308",2008,"Crosby",11055.77
"309",2008,"Culberson",10514.92
"310",2008,"Dallam",9182.9
"311",2008,"Dallas",11247.31
"312",2008,"Dawson",10681.49
"313",2008,"DeWitt",9531.51
"314",2008,"Deaf Smith",8061.88
"315",2008,"Delta",9053.74
